event,date,player,elo,color,opponent,result,avg_cp_loss,std_cp_loss
Leon Man+Comp m,1999.06.12,"Anand, Viswanathan",2781.0,white,"Karpov, Anatoly",draw,17.27659574468085,26.698236556363728
Leon Man+Comp m,1999.06.12,"Karpov, Anatoly",2710.0,black,"Anand, Viswanathan",draw,18.595744680851062,31.76419741173084
Leon Man+Comp m,1999.06.13,"Karpov, Anatoly",2710.0,white,"Anand, Viswanathan",lost,34.5,80.55657087482753
Leon Man+Comp m,1999.06.13,"Anand, Viswanathan",2781.0,black,"Karpov, Anatoly",won,11.257142857142858,15.719583522550746
Leon Man+Comp m,1999.06.13,"Anand, Viswanathan",2781.0,white,"Karpov, Anatoly",won,13.978260869565217,28.868885861571954
Leon Man+Comp m,1999.06.13,"Karpov, Anatoly",2710.0,black,"Anand, Viswanathan",lost,24.77777777777778,35.18325920654682
Siemens Giants,1999.06.29,"Karpov, Anatoly",2710.0,white,"Anand, Viswanathan",draw,18.580645161290324,23.601222212130192
Siemens Giants,1999.06.29,"Anand, Viswanathan",2781.0,black,"Karpov, Anatoly",draw,17.2,20.551398979144945
Siemens Giants,1999.06.29,"Anand, Viswanathan",2781.0,white,"Kasparov, Gary",lost,51.875,57.69626829353871
Siemens Giants,1999.06.29,"Kasparov, Gary",2812.0,black,"Anand, Viswanathan",won,23.625,25.792137852454186
Siemens Giants,1999.06.30,"Kramnik, Vladimir",2751.0,white,"Anand, Viswanathan",draw,30.76923076923077,37.99963666389155
Siemens Giants,1999.06.30,"Anand, Viswanathan",2781.0,black,"Kramnik, Vladimir",draw,28.81578947368421,33.573058797320066
Siemens Giants,1999.06.30,"Anand, Viswanathan",2781.0,white,"Karpov, Anatoly",lost,97.95,248.70855936215784
Siemens Giants,1999.06.30,"Karpov, Anatoly",2710.0,black,"Anand, Viswanathan",won,42.9,63.716481384332575
Siemens Giants,1999.06.30,"Kasparov, Gary",2812.0,white,"Anand, Viswanathan",draw,44.111111111111114,70.20595803213482
Siemens Giants,1999.06.30,"Anand, Viswanathan",2781.0,black,"Kasparov, Gary",draw,49.35294117647059,92.97877124975457
Siemens Giants,1999.07.01,"Anand, Viswanathan",2781.0,white,"Kramnik, Vladimir",won,22.11764705882353,26.470588235294116
Siemens Giants,1999.07.01,"Kramnik, Vladimir",2751.0,black,"Anand, Viswanathan",lost,54.6875,67.85252275155287
Siemens Giants,1999.07.01,"Karpov, Anatoly",2710.0,white,"Anand, Viswanathan",draw,6.5,9.82344135219425
Siemens Giants,1999.07.01,"Anand, Viswanathan",2781.0,black,"Karpov, Anatoly",draw,5.3125,7.0420056624515714
Siemens Giants,1999.07.02,"Kramnik, Vladimir",2751.0,white,"Anand, Viswanathan",draw,19.083333333333332,20.651708296302164
Siemens Giants,1999.07.02,"Anand, Viswanathan",2781.0,black,"Kramnik, Vladimir",draw,24.434782608695652,32.61611509795696
Siemens Giants,1999.07.02,"Anand, Viswanathan",2781.0,white,"Karpov, Anatoly",won,23.114285714285714,31.55473378892295
Siemens Giants,1999.07.02,"Karpov, Anatoly",2710.0,black,"Anand, Viswanathan",lost,47.85294117647059,84.18471719377894
Siemens Giants,1999.07.02,"Kasparov, Gary",2812.0,white,"Anand, Viswanathan",draw,19.0,17.320508075688775
Siemens Giants,1999.07.02,"Anand, Viswanathan",2781.0,black,"Kasparov, Gary",draw,20.272727272727273,16.89588927461841
Siemens Man-Machine Re-match,1999.07.03,"Anand, Viswanathan",2781.0,black,Fritz 6,draw,37.2,50.012143979783005
Siemens Man-Machine Re-match,1999.07.03,"Anand, Viswanathan",2781.0,white,Fritz 6,draw,39.47826086956522,42.06503201846583
Siemens Man-Machine Re-match,1999.07.04,"Anand, Viswanathan",2781.0,black,Fritz 6,won,32.0,54.05394131262374
Siemens Man-Machine Re-match,1999.07.04,"Anand, Viswanathan",2781.0,white,Fritz 6,draw,13.833333333333334,14.587856441422625
Dortmunder Schachtage,1999.07.10,"Anand, Viswanathan",2781.0,white,"Topalov, Veselin",draw,19.585365853658537,28.563131284377594
Dortmunder Schachtage,1999.07.10,"Topalov, Veselin",2700.0,black,"Anand, Viswanathan",draw,19.05,25.1634159048409
Dortmunder Schachtage,1999.07.11,"Adams, Michael",2716.0,white,"Anand, Viswanathan",draw,19.869565217391305,38.583961916867324
Dortmunder Schachtage,1999.07.11,"Anand, Viswanathan",2781.0,black,"Adams, Michael",draw,17.17391304347826,30.100775916495035
Dortmunder Schachtage,1999.07.12,"Anand, Viswanathan",2781.0,white,"Timman, Jan H",won,22.405405405405407,24.69977509412811
Dortmunder Schachtage,1999.07.12,"Timman, Jan H",2670.0,black,"Anand, Viswanathan",lost,39.44444444444444,45.420531605850066
Dortmunder Schachtage,1999.07.14,"Anand, Viswanathan",2771.0,white,"Leko, Peter",draw,16.789473684210527,16.928888256992202
Dortmunder Schachtage,1999.07.14,"Leko, Peter",2701.0,black,"Anand, Viswanathan",draw,15.722222222222221,15.83879048256581
Dortmunder Schachtage,1999.07.15,"Karpov, Anatoly",2700.0,white,"Anand, Viswanathan",draw,12.263157894736842,15.586235848415667
Dortmunder Schachtage,1999.07.15,"Anand, Viswanathan",2771.0,black,"Karpov, Anatoly",draw,10.333333333333334,9.291573243177568
Dortmunder Schachtage,1999.07.16,"Anand, Viswanathan",2771.0,white,"Sokolov, Ivan",draw,5.0476190476190474,8.676603408708855
Dortmunder Schachtage,1999.07.16,"Sokolov, Ivan",2656.0,black,"Anand, Viswanathan",draw,4.095238095238095,6.567631753385125
EUCup G4,1999.10.09,"Anand, Viswanathan",2771.0,white,"Chernin, Alexander",won,34.21739130434783,50.31894493410672
EUCup G4,1999.10.09,"Chernin, Alexander",2619.0,black,"Anand, Viswanathan",lost,73.27272727272727,105.64528205194358
EUCup G4,1999.10.10,"Rublevsky, Sergei",2660.0,white,"Anand, Viswanathan",draw,13.952380952380953,19.300817131668634
EUCup G4,1999.10.10,"Anand, Viswanathan",2771.0,black,"Rublevsky, Sergei",draw,12.047619047619047,21.308339951153467
Corus,2000.01.16,"Anand,V",2769.0,white,"Nikolic,Pr",won,29.233333333333334,41.45494207235396
Corus,2000.01.16,"Nikolic,Pr",2659.0,black,"Anand,V",lost,55.0,74.09593036430357
Corus,2000.01.18,"Leko,P",2725.0,white,"Anand,V",draw,21.58823529411765,33.777923217477614
Corus,2000.01.18,"Anand,V",2769.0,black,"Leko,P",draw,17.9375,12.592005152079633
Corus,2000.01.19,"Anand,V",2769.0,white,"Kramnik,V",draw,23.233333333333334,36.2580412537075
Corus,2000.01.19,"Kramnik,V",2758.0,black,"Anand,V",draw,18.517241379310345,21.18005029080541
Corus,2000.01.20,"Polgar,Ju",2658.0,white,"Anand,V",draw,20.529411764705884,16.24126062572739
Corus,2000.01.20,"Anand,V",2769.0,black,"Polgar,Ju",draw,18.41176470588235,18.272637285197813
Corus,2000.01.23,"Kasparov,G",2851.0,white,"Anand,V",draw,8.565217391304348,12.189896339954167
Corus,2000.01.23,"Anand,V",2769.0,black,"Kasparov,G",draw,7.456521739130435,10.838150254779624
Corus,2000.01.24,"Anand,V",2769.0,white,"Van Wely,L",draw,28.333333333333332,26.67678379510532
Corus,2000.01.24,"Van Wely,L",2646.0,black,"Anand,V",draw,25.2,29.728101183896694
Corus,2000.01.25,"Adams,Mi",2715.0,white,"Anand,V",draw,24.75,28.159145938753184
Corus,2000.01.25,"Anand,V",2769.0,black,"Adams,Mi",draw,25.73913043478261,26.549735757801315
Corus,2000.01.27,"Anand,V",2769.0,white,"Morozevich,A",draw,15.074074074074074,17.999847583564424
Corus,2000.01.27,"Morozevich,A",2748.0,black,"Anand,V",draw,15.615384615384615,24.419533358921
Corus,2000.01.28,"Short,N",2683.0,white,"Anand,V",draw,20.692307692307693,15.429166263853443
Corus,2000.01.28,"Anand,V",2769.0,black,"Short,N",draw,23.833333333333332,16.747304924142934
Corus,2000.01.30,"Anand,V",2769.0,white,"Lputian,S",won,27.88235294117647,43.40400589573503
Corus,2000.01.30,"Lputian,S",2605.0,black,"Anand,V",lost,35.52,47.370978457279094
SuperGM,2000.02.28,"Leko,P",2725.0,white,"Anand,V",draw,12.96551724137931,14.751932097001069
SuperGM,2000.02.28,"Anand,V",2769.0,black,"Leko,P",draw,11.75,17.22047162121708
SuperGM,2000.02.29,"Kramnik,V",2758.0,white,"Anand,V",draw,28.9,31.88871273664084
SuperGM,2000.03.01,"Anand,V",2769.0,white,"Shirov,A",lost,41.25806451612903,54.26040423017178
SuperGM,2000.03.01,"Shirov,A",2751.0,black,"Anand,V",won,26.387096774193548,28.552924735062053
SuperGM,2000.03.03,"Anand,V",2769.0,white,"Kasparov,G",lost,32.13636363636363,39.48451417333297
SuperGM,2000.03.03,"Kasparov,G",2851.0,black,"Anand,V",won,16.818181818181817,23.354260587809367
SuperGM,2000.03.04,"Khalifman,A",2656.0,white,"Anand,V",draw,18.666666666666668,20.4586303440762
